title,body,rating
"It’s ok, especially for the price.","The chair came packaged well, and was easy enough to put together with just one person. It looks nice in the room. I’m 5’3” and I’ll say that it has a deeper seat than I would prefer but the back/lumbar cushion they provide helps with that. That being said, the head cushion can only be adjusted so low so there ends up being this awkward and uncomfortable dead space between my lower neck and lower back which leaves me hovering over the back by 4-6inches, so there’s no support there and I’ll likely have to get something by to remedy that soon but that might just be a short girl problem. The seat itself was an issue - I have never had tailbone pain/issues before and this absolutely caused some and it also seemed to trigger sciatic nerve issues, tingling up and down the legs. There’s very little cushion, so I ended up buying a seat cushion. The wheels aren’t great either. They’ll get the job done but I ended up spending money on new wheels as well.",3
Nice,Very easy to assemble.,5
Uncomfortable and easy to damage,"The base is stiff and you can feel the gas cylinder through it while sitting. The zipper along the sides doesn’t have a zipper on it so when it easily comes open, which mine did, there’s no way to close it back up. A lot of the fabric starts to fray and the sewing comes undone within a week or two. 2 stars because it looks good and was easy to put together. Otherwise it would be one star.",2
"Easy to assemble, gorgeous, and really comfy","I have a bad back and pretty poor circulation, so this was a great purchase for me. The foot rest is a bit unsturdy, slightly tilting the chair forward when you recline- but it serves the purpose. Really quick n easy to follow assembly instructions.",5
"Solid Chair, justified purchase","I have used this chair for quite a few months now and I must say it has proven to be a very good purchase.First off, the chair was easy to assemble. it comes with easy to understand instructions too.As far as comfort goes, it is pretty comfortable for not being leather. I live in a very hot/humid place so leather was a no-go for me. It reclines well and can handle the bulk of my weight and it still goes up and down with ease when I adjust the lever.Overall, a solid 5/5 for the money I spent.",5
Bolts fallout easily,"have been using for 3 months very comfortable but the bolts have fallen out and I had to rebuild the chair, Tightening them even more and they still fell out",3
BEAUTIFUL AND GREAT quality...,Outstanding product BOTH my grandsons got one for Christmas and they love these chairs.MBGARCIASAT78251,5
Very comfy,When my last gaming chair broke I knew I needed one that was similar in size. I like to sit with my knees up or criss cross applesauce and I needed a big enough chair to do that. The base of the chair is perfect it’s big enough for just that. It reclines well the footrest works great. I love everything about it it’s a great texture and I can sit in it for hours. I don’t use either of the pillows just due to my preference. I did test the lumbar pillow it is really loud and doesn’t feel like it would do a whole lot if that’s why ur buying the chair it’s not the best feature.,5
Decent.,It's decent.,4
Comfortable till it breaks,"I purchased this chair about 4 months ago, and it is extremely nice and comfortable. I would recommend because not everyone will have my experience, but what I will say is the parts seem old and/or cheap. I cant seem to find a support page to get a hold of these guys otherwise as their website just brings me here. I have to replace the piston as it started sagging.. Then apparently the plastic around the cylinder just broke into 5 pieces at the top of the piston where the chrome metal starts to be exposed because of that now the bolts to the left arm are messed up from the offset seating and long gaming sessions so those have to be replaced and my last complaint is the lumbar pillows like flat as cardboard now. even with constant fluffing. Otherwise this chairs been great. Just glad my and half month pregnant girlfriend didnt sit in it when the piston popped on us..",2
Comfortable,Got this for my son for Christmas and he loves his chair.  Very comfortable!,5
Cause of Near Death Experience,"Purchased July 22nd of 2023 (Less than a year!) I went to sit in my chair yesterday evening when it literally buckled and collapsed under me. I yelped. My life flashed before my eyes as I fell plummeted backwards, the back of my skull narrowly missing an art desk behind me. I knew almost immediately that I had jarred my body. My back, neck, and arms are still sore. I'm 100lbs under the weight limit. Ive never before broken a chair (literally was mortified!) I've NEVER used the chair to lean back because I've been scared of falling (how ironic). I rarely used the foot rest. So it was up right, normal height, no foot rest out when this happened. I'm pretty much scared of office chairs now. My husband considered trying to find parts to repair it but I was afraid it'd tried to finish the job, so now it's been banished from the house.  #trauma #emotionaldamage #whenofficechairsattackI'd like some sort of customer service regarding this. An apology? A new chair that doesn't have an assassination attempt on my life? Maybe this one was faulty?Thanks!",1
Get what you pay for,"Hi there! The chair is pretty comfy to start off, haven’t sat in it for prolonged periods of time though. Was 10/10 difficult to put together as NO INSTRUCTIONS WERE INCLUDED. Other than that it seems to be a decent chair.",4
Great gaming chair,I guess I must not have read the reviews or the description very well. Did not realize or expect how soft this chair would be. It was a great unexpected feature! It was easy to set up and glides nicely. My son will get a lot of use out of it,5
Great Gaming Chair,"I ordered this for my son, who's obviously gaming a lot, and I am super happy with the chair. Came right on time, easy instructions, easy assembly and a great looking chair!!! Comfortable, pillows can be removed if wanted and footrest is easy to pull out and hide again when not needed. Would recommend and buy again!",5
Game Chair,I found the seating part is hard..it's not plush..I just used it for the first day on 7/26/23. My bottom is already hurting. Nice chair stable strong chair..but you will need an extra cushion..this is not for everyday work or game playing on this chair..I'll be back sitting on my exercise ball...I'm not sure if you have to break the seat in..but it's hard...and I have my own cushion (buttocks) and it's still hard without an extra cushion.,3
Comfortable,"As someone who is pretty picky when it comes to gaming chairs, this one is pretty comfortable, easy to set up, and is very durable.",5
Easy to assemble but did not come with instructions.,"The media could not be loaded.
                



The chair works well and is pretty comfortable. It’s easy to assembled but it would have been much easier if it would have come with instructions. It would get 5 star’s if it hadn’t been for that. I couldn’t find any online instructions either. The screws are numbered so they are clearly meant too be used on specific parts of the chair so there was some trial and error involved with making sure that correct screws were in the correct holes.Despite’s this it took less than an hour to setup.",4
Good Chair for Gaming,I bought this chair for my son because he was hunching in the other one he had and I was worried about his back. He says it is comfortable and likes the leg rest and that it reclines. It is a good chair for the price.,5
Holes for screws are off,"I was super excites about my chair, up until I got to attaching the bottom bracket to the seat. You cam put any 3 screws in it, but it'll throw off the 4th. Super frustrating. I'm headed to store now to get a file or something to fix it. Besides that everything looks okay. Havnt had a chance to see if it's comfortable or not. Just figured it was worth mentioning here.",3
It's a tiny bit too stiff to be 100% comfortable...,"It's a surprisingly good product for the $. While I suppose I might have made another choice if I'd had the opportunity to sit on it a while before I pulled the trigger, I think it's likely I wouldn't have been able to find anything better for the price.So, it's a good, but not great chair & if you want something better, I think you'd be hard pressed to find it @ a similar price point.",4
It's very comfortable,"The chair was fairly easy to assemble but I'm done places you have to test through the fabric to get to the holes for the screws which made it unnecessarily difficult. The massage feature is a bit disappointing, I could do without that altogether. Overall though it's a fine chair.",4
Broke and not the most comfortable,So I bought this chair Oct of ‘22 and was excited at first. Quickly became uncomfortable. It does not hold up over time. First the cyclinder started leaking and it would just start going down and I would have readjust constantly. Then a year and 4 months in the up and down cyclinder just failed and its stuck in the down position. Really should have lasted longer.,2
Fabrics on the armrest ripped.,Kind of upset the fact the chair doesn't came perfect.but it pretty comfortable to sit for long time.,4
Ehh it's OK,Affordable? Yes. Comfortable? Not so much. The 1st couple of days it was pretty comfortable but as the weeks went on it started to get more and more harder and harder to sit on for long periods of time. Doesn't support my back the way I wish it would and the chair was starting to squeak and pop less then a month of owning it; I'm not sure why I'm only 5'6 &132lbs so I ended up returning it.,3
Awesome chair !,I got this chair for my boyfriend for his birthday and he absolutely loves it. He says it is super comfortable and lives the foot rest it comes with. Pretty durable and supports well. Plus the pillow it comes with has a massaging type for your back!( usb port not outlet to wall) the foot rest isn’t hard to pull out but it id alittle hassle. The recline I. The chair is pretty awesome you can practically sleep in it on how far back it goes.,5
broke after a few months **edited**,"cheap parts, not worth the value, metal bends and break at certain angles if not careful**update*despite the chair breaking, the chair was very comfy and soft, i did enjoy the little back massager that the chair came with and the pillow for extra comfort,great customer services, they reached out pretty quick",5
Not recommended,Bought for less a month. The feet pad is completely useless(cannot hold its position). The sitting pad got broken from inside one day (hear the crack sound) so you easily slew to the floor when sitting on it.,2
Super nice!,"The chair itself is really nice, everything went on tightly, no wiggles on the arm rests THANK GOD. Sitting on the chair it’s pretty firm which I personally don’t mind because overtime it’ll break in and I’ll wish it was firmer. Super big fan of the fabric! I have always had the faux leather stuff and it would eventually just crack and peel away after 3 years so I’m hoping this chair will last longer for me.",4
